x,y,z
11.8533,10.1066,-12.7536
12.084,9.83907,-12.7184
12.2415,10.0258,-12.8704
11.662,10.3279,-9.14567
11.7947,10.3617,-9.07932
11.6746,10.4117,-9.08453
12.2916,11.1196,-15.5761
12.2506,11.1601,-15.5861
12.2093,11.0881,-15.6067
11.9912,9.86073,-10.953
12.247,10.1897,-10.8955
11.5651,10.1349,-10.8692
11.6709,10.4261,-11.0162
12.247,10.1897,-10.8955
11.9912,9.86073,-10.953
11.9912,9.86073,-10.953
11.5651,10.1349,-10.8692
11.6709,10.4261,-11.0162
12.2506,11.1601,-15.5861
12.2629,11.1525,-15.7102
12.2093,11.0881,-15.6067
12.1817,10.1703,-10.1091
12.1795,10.157,-9.89466
12.1615,10.1847,-9.91181
11.8488,9.79269,-10.0182
11.8478,9.78655,-10.1645
11.8934,9.80664,-10.1407
11.8488,9.79269,-10.0182
11.8934,9.80664,-10.1407
11.8184,9.82185,-10.1667
12.0194,10.8426,-12.7457
12.1056,10.7495,-12.79
12.1227,10.8198,-12.9312
12.1227,10.8198,-12.9312
11.9553,10.7365,-12.856
12.0194,10.8426,-12.7457
12.1817,10.1703,-10.1091
12.1615,10.1847,-9.91181
12.2151,10.1729,-10.0356
11.6095,10.313,-12.7691
11.7863,10.1382,-12.8055
11.6756,10.4108,-13.0607
12.155,11.0312,-14.6018
12.1943,11.0282,-14.5766
12.1969,11.0515,-14.587
12.5817,10.4643,-13.4553
12.8293,10.5539,-15.5631
13.6465,10.4241,-16.5255
12.1615,10.1847,-9.91181
12.1795,10.157,-9.89466
12.2151,10.1729,-10.0356
12.2506,11.1601,-15.5861
12.2916,11.1196,-15.5761
12.2629,11.1525,-15.7102
12.155,11.0312,-14.6018
12.1969,11.0515,-14.587
12.193,11.0413,-14.7668
12.8037,10.4995,-15.3388
12.5817,10.4643,-13.4553
13.6465,10.4241,-16.5255
12.1817,10.1703,-10.1091
12.2151,10.1729,-10.0356
12.1795,10.157,-9.89466
12.4592,10.1505,-15.6523
12.176,10.0766,-15.3226
12.3512,10.0316,-15.0567
12.193,11.0413,-14.7668
12.1969,11.0515,-14.587
12.1943,11.0282,-14.5766
11.6491,10.4417,-14.611
11.6634,10.4231,-14.7221
11.6941,10.4733,-14.8216
12.4835,10.3415,-12.3955
12.5097,10.3543,-12.4883
12.4826,10.3396,-12.3077
11.6709,10.4261,-11.0162
11.5651,10.1349,-10.8692
12.247,10.1897,-10.8955
12.3512,10.0316,-15.0567
12.348,9.982,-15.6974
12.4592,10.1505,-15.6523
12.1943,11.0282,-14.5766
12.155,11.0312,-14.6018
12.193,11.0413,-14.7668
11.9531,10.7225,-11.9276
11.9764,10.71,-11.9298
11.9781,10.6975,-11.8854
11.6927,10.4517,-14.837
11.6941,10.4733,-14.8216
11.6634,10.4231,-14.7221
11.9712,10.7031,-11.8489
11.9781,10.6975,-11.8854
11.9764,10.71,-11.9298
12.5002,10.3542,-12.3892
12.5097,10.3543,-12.4883
12.4835,10.3415,-12.3955
12.2916,11.1196,-15.5761
12.2093,11.0881,-15.6067
12.2629,11.1525,-15.7102
11.9553,10.7365,-12.856
12.1056,10.7495,-12.79
12.0194,10.8426,-12.7457
11.662,10.3279,-9.14567
11.6746,10.4117,-9.08453
11.7714,10.457,-9.07242
11.8533,10.1066,-12.7536
12.2415,10.0258,-12.8704
12.0981,9.91021,-13.1265
12.2415,10.0258,-12.8704
12.084,9.83907,-12.7184
12.0981,9.91021,-13.1265
11.7714,10.457,-9.07242
11.6746,10.4117,-9.08453
11.7947,10.3617,-9.07932
12.0325,10.0966,-8.71649
12.0208,10.0913,-8.71649
12.0038,10.1216,-8.71649
12.5817,10.4643,-13.4553
12.8037,10.4995,-15.3388
12.8293,10.5539,-15.5631
11.731,10.185,-13.1086
11.6756,10.4108,-13.0607
11.7863,10.1382,-12.8055
13.6465,10.4241,-16.5255
12.4862,11.643,-16.5705
12.8037,10.4995,-15.3388
11.7319,9.78444,-8.71649
11.7762,9.77652,-8.71649
11.728,9.73431,-8.71649
11.7714,10.457,-9.07242
11.7947,10.3617,-9.07932
11.662,10.3279,-9.14567
12.8293,10.5539,-15.5631
12.8037,10.4995,-15.3388
12.4862,11.643,-16.5705
11.6095,10.313,-12.7691
11.6756,10.4108,-13.0607
11.731,10.185,-13.1086
11.6941,10.4733,-14.8216
11.6927,10.4517,-14.837
11.6491,10.4417,-14.611
11.3918,10.0333,-8.71649
11.4358,10.0201,-8.71649
11.4011,10.0112,-8.71649
11.9712,10.7031,-11.8489
11.9531,10.7225,-11.9276
11.9781,10.6975,-11.8854
11.8934,9.80664,-10.1407
11.8478,9.78655,-10.1645
11.8184,9.82185,-10.1667
12.5002,10.3542,-12.3892
12.4826,10.3396,-12.3077
12.5097,10.3543,-12.4883
11.8488,9.79269,-10.0182
11.8184,9.82185,-10.1667
11.8478,9.78655,-10.1645
11.6927,10.4517,-14.837
11.6634,10.4231,-14.7221
11.6491,10.4417,-14.611
12.4835,10.3415,-12.3955
12.4826,10.3396,-12.3077
12.5002,10.3542,-12.3892
12.0981,9.91021,-13.1265
12.084,9.83907,-12.7184
11.8533,10.1066,-12.7536
12.1227,10.8198,-12.9312
12.1056,10.7495,-12.79
11.9553,10.7365,-12.856
12.3512,10.0316,-15.0567
12.176,10.0766,-15.3226
12.348,9.982,-15.6974
11.9531,10.7225,-11.9276
11.9712,10.7031,-11.8489
11.9764,10.71,-11.9298
11.7863,10.1382,-12.8055
11.6095,10.313,-12.7691
11.731,10.185,-13.1086
12.348,9.982,-15.6974
12.176,10.0766,-15.3226
12.4592,10.1505,-15.6523
12.3512,10.0316,-15.0567
12.176,10.0766,-15.3226
12.348,9.982,-15.6974
11.4998,10.1951,-11.0833
11.7919,10.5792,-10.9774
12.247,10.1897,-10.8955
12.1943,11.0282,-14.5766
12.155,11.0312,-14.6018
12.193,11.0413,-14.7668
12.1615,10.1847,-9.91181
12.1795,10.157,-9.89466
12.2151,10.1729,-10.0356
12.4835,10.3415,-12.3955
12.4826,10.3396,-12.3077
